zero,418,395,94.5,418,389,93.06,-1.44
forward,155,121,78.06,155,119,76.77,-1.29
visual,165,143,86.67,165,141,85.45,-1.21
right,396,366,92.42,396,362,91.41,-1.01
no,405,373,92.1,405,369,91.11,-0.99
happy,203,186,91.63,203,184,90.64,-0.99
on,396,357,90.15,396,354,89.39,-0.76
nine,408,387,94.85,408,384,94.12,-0.74
bird,185,165,89.19,185,164,88.65,-0.54
house,191,178,93.19,191,177,92.67,-0.52
one,399,372,93.23,399,370,92.73,-0.5
bed,207,174,84.06,207,173,83.57,-0.48
up,425,393,92.47,425,391,92.0,-0.47
down,406,372,91.63,406,371,91.38,-0.25
follow,172,144,83.72,172,144,83.72,0.0
left,412,387,93.93,412,387,93.93,0.0
two,424,393,92.69,424,393,92.69,0.0
seven,406,393,96.8,406,393,96.8,0.0
six,394,381,96.7,394,381,96.7,0.0
stop,411,406,98.78,411,406,98.78,0.0
tree,193,166,86.01,193,166,86.01,0.0
marvin,195,173,88.72,195,173,88.72,0.0
wow,206,178,86.41,206,178,86.41,0.0
backward,165,153,92.73,165,153,92.73,0.0
four,400,373,93.25,400,374,93.5,0.25
five,445,425,95.51,445,427,95.96,0.45
dog,220,185,84.09,220,186,84.55,0.45
yes,419,406,96.9,419,408,97.37,0.48
three,405,372,91.85,405,374,92.35,0.49
cat,194,181,93.3,194,182,93.81,0.52
learn,161,117,72.67,161,118,73.29,0.62
eight,408,375,91.91,408,378,92.65,0.74
off,402,367,91.29,402,370,92.04,0.75
sheila,212,195,91.98,212,197,92.92,0.94
go,402,358,89.05,402,362,90.05,1.0
